area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_num,BHK,Price_per_SqFt
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,,2700,2.0,2.0,251.0392160550176,2700.0,3,9297.748742778429
Built-up  Area,19-May,Electronic City Phase II,6 Bedroom,,1521,5.0,0.0,354.0374080561845,1521.0,6,23276.621173976626
Carpet  Area,18-Apr,Kothanur,6 Bedroom,Theanmp,1100 - 1500,2.0,1.0,56.06114033619247,1300.0,6,4312.395410476344
Plot  Area,19-May,Uttarahalli,6 Bedroom,Coomege ,1310,2.0,1.0,339.2088185948662,1310.0,6,25893.802946172997
Carpet  Area,18-Apr,Electronic City Phase II,4 BHK,Theanmp,1521,5.0,1.0,85.70016447722347,1521.0,4,5634.461832822056
Carpet  Area,Ready To Move,Kothanur,1 BHK,Coomege ,1206,3.0,0.0,72.8248124673652,1206.0,1,6038.541663960631
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Coomege ,1440,1.0,0.0,163.23324798583653,1440.0,4,11335.642221238648
Carpet  Area,19-May,Old Airport Road,4 BHK,,2700,4.0,2.0,265.40866656700393,2700.0,4,9829.950613592739
Built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,Theanmp,1100 - 1500,3.0,1.0,275.6666724676411,1300.0,1,21205.128651357005
Carpet  Area,Ready To Move,Chikka Tirupathi,1 BHK,,2700,1.0,1.0,65.01362790100416,2700.0,1,2407.912144481635
Built-up  Area,19-May,Kothanur,6 Bedroom,Prrscly,2700,1.0,3.0,253.1288469093264,2700.0,6,9375.1424781232
Built-up  Area,19-May,Whitefield,6 Bedroom,Prrscly,1440,2.0,1.0,141.74909623757486,1440.0,6,9843.687238720477
Carpet  Area,19-May,Old Airport Road,1 BHK,Coomege ,1100 - 1500,2.0,1.0,83.2281839684839,1300.0,1,6402.167997575685
Built-up  Area,19-May,Uttarahalli,6 Bedroom,SollyCl,1310,4.0,3.0,43.59927288249209,1310.0,6,3328.1887696558842
Carpet  Area,19-May,Chikka Tirupathi,3 BHK,Prrscly,1440,1.0,3.0,287.8943646677265,1440.0,3,19992.66421303656
Super built-up  Area,19-May,Kothanur,6 Bedroom,Theanmp,1206,4.0,0.0,323.0542289825221,1206.0,6,26787.249501038314
Built-up  Area,18-Apr,Chikka Tirupathi,3 Bedroom,,1056,1.0,1.0,377.26689230616927,1056.0,3,35726.03146838724
Built-up  Area,19-May,Lingadheeranahalli,6 Bedroom,,2600,5.0,1.0,284.1602751480908,2600.0,6,10929.241351849647
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,SollyCl,1521,5.0,3.0,295.7779726437617,1521.0,4,19446.283540023782
Plot  Area,19-May,Whitefield,2 BHK,,1056,2.0,2.0,168.19723579446458,1056.0,2,15927.768541142479
Super built-up  Area,Ready To Move,Electronic City Phase II,4 Bedroom,Prrscly,1440,1.0,0.0,110.728376098095,1440.0,4,7689.470562367708
Super built-up  Area,Ready To Move,Old Airport Road,1 BHK,,1056,1.0,3.0,313.9675272413901,1056.0,1,29731.773413010425
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,,1100 - 1500,4.0,0.0,61.565638637306165,1300.0,3,4735.818356715859
Plot  Area,18-Apr,Electronic City Phase II,6 Bedroom,Mainpro,1100 - 1500,3.0,0.0,192.9621901534684,1300.0,6,14843.245396420647
Built-up  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,1100 - 1500,2.0,2.0,163.36672308410567,1300.0,4,12566.671006469667
Built-up  Area,18-Apr,Electronic City Phase II,1 BHK,Prrscly,1206,2.0,3.0,246.2175972359919,1206.0,1,20416.052838805295
Built-up  Area,18-Apr,Kothanur,3 Bedroom,,2700,4.0,2.0,259.7806760449748,2700.0,3,9621.506520184252
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 Bedroom,Mainpro,1310,2.0,3.0,228.54646451758472,1310.0,3,17446.295001342347
Super built-up  Area,18-Apr,Electronic City Phase II,1 BHK,SollyCl,1440,1.0,0.0,287.05980409395903,1440.0,1,19934.708617636043
Plot  Area,18-Dec,Rajaji Nagar,4 Bedroom,SollyCl,2600,5.0,1.0,252.05581057837676,2600.0,4,9694.454253014492
Carpet  Area,19-May,Lingadheeranahalli,6 Bedroom,Coomege ,1440,3.0,2.0,230.17164164121448,1440.0,6,15984.141780639895
Carpet  Area,18-Dec,Kothanur,3 Bedroom,Coomege ,1310,4.0,1.0,193.12559832499997,1310.0,3,14742.412085877859
Carpet  Area,Ready To Move,Lingadheeranahalli,6 Bedroom,Theanmp,1206,5.0,0.0,66.29069204906543,1206.0,6,5496.740634250865
Super built-up  Area,18-Dec,Uttarahalli,6 Bedroom,Theanmp,1521,1.0,3.0,256.8764927553039,1521.0,6,16888.658300808936
Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,Mainpro,2700,3.0,1.0,236.37521278304024,2700.0,4,8754.637510482973
Super built-up  Area,Ready To Move,Lingadheeranahalli,1 BHK,Mainpro,2700,1.0,2.0,390.964380606285,2700.0,1,14480.162244677222
Built-up  Area,18-Dec,Rajaji Nagar,2 BHK,Theanmp,1100 - 1500,1.0,3.0,74.29209848058187,1300.0,2,5714.776806198605
Built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,Prrscly,1310,4.0,1.0,238.3722666952516,1310.0,1,18196.35623627875
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Mainpro,1056,1.0,0.0,136.208147338542,1056.0,2,12898.498800998295
Super built-up  Area,18-Apr,Kothanur,1 BHK,Mainpro,1206,5.0,3.0,340.5097323548253,1206.0,1,28234.63784036694
Plot  Area,19-May,Kothanur,3 Bedroom,Mainpro,1521,5.0,2.0,78.01883872401935,1521.0,3,5129.443703091344
Built-up  Area,18-Dec,Rajaji Nagar,3 Bedroom,Prrscly,1310,5.0,2.0,398.3064642506974,1310.0,3,30405.073606923466
Plot  Area,18-Apr,Chikka Tirupathi,3 Bedroom,Prrscly,1440,4.0,3.0,224.70968302039304,1440.0,3,15604.839098638406
Plot  Area,18-Apr,Whitefield,2 BHK,Theanmp,1440,2.0,3.0,234.80475925752572,1440.0,2,16305.886059550397
Built-up  Area,18-Apr,Whitefield,3 Bedroom,Mainpro,2700,2.0,0.0,210.76689911170484,2700.0,3,7806.18144858166
Super built-up  Area,Ready To Move,Kothanur,2 BHK,SollyCl,1521,3.0,2.0,290.72444803526474,1521.0,2,19114.03340139808
Plot  Area,Ready To Move,Kothanur,4 BHK,Theanmp,1100 - 1500,5.0,0.0,116.68681821252832,1300.0,4,8975.90909327141
Super built-up  Area,Ready To Move,Chikka Tirupathi,1 BHK,,2600,4.0,1.0,207.18822753996656,2600.0,1,7968.777982306406
Carpet  Area,18-Apr,Kothanur,4 BHK,Theanmp,2600,4.0,3.0,393.8568991282416,2600.0,4,15148.342274163138
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,Coomege ,1521,2.0,1.0,311.1496527606745,1521.0,4,20456.91339649405
Super built-up  Area,18-Dec,Lingadheeranahalli,3 Bedroom,Coomege ,1440,1.0,0.0,123.916974590191,1440.0,3,8605.345457652153
Carpet  Area,Ready To Move,Lingadheeranahalli,2 BHK,Mainpro,1440,1.0,0.0,313.4981345681523,1440.0,2,21770.70378945502
Super built-up  Area,18-Dec,Lingadheeranahalli,4 Bedroom,SollyCl,2700,4.0,3.0,98.4883212787853,2700.0,4,3647.715602917974
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Theanmp,1056,4.0,3.0,330.5999253227043,1056.0,2,31306.811110104572
Plot  Area,18-Dec,Electronic City Phase II,1 BHK,Theanmp,1100 - 1500,3.0,2.0,396.6880824473512,1300.0,1,30514.467880565473
Super built-up  Area,18-Dec,Whitefield,3 BHK,SollyCl,1206,1.0,1.0,150.75836036044325,1206.0,3,12500.69323055085
Super built-up  Area,18-Dec,Old Airport Road,3 Bedroom,,1310,5.0,3.0,35.632938533094965,1310.0,3,2720.071643747707
Plot  Area,18-Dec,Rajaji Nagar,1 BHK,Coomege ,1521,4.0,2.0,228.45012257651663,1521.0,1,15019.731924820293
Plot  Area,18-Dec,Lingadheeranahalli,4 BHK,Coomege ,2600,3.0,3.0,129.12010022592432,2600.0,4,4966.157700997089
Carpet  Area,19-May,Kothanur,4 BHK,,1056,4.0,3.0,394.9927617880519,1056.0,4,37404.61759356552
Built-up  Area,18-Apr,Chikka Tirupathi,3 Bedroom,,2700,4.0,0.0,107.86764741233756,2700.0,3,3995.0980523087987
Carpet  Area,18-Apr,Chikka Tirupathi,3 BHK,Coomege ,2600,3.0,0.0,389.3659047053382,2600.0,3,14975.611719436083
Plot  Area,Ready To Move,Old Airport Road,1 BHK,,1100 - 1500,4.0,1.0,183.92584001850676,1300.0,1,14148.141539885135
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,,1056,1.0,1.0,184.27802692044605,1056.0,2,17450.570731102845
Carpet  Area,18-Dec,Chikka Tirupathi,3 BHK,,1310,1.0,0.0,186.22747438568797,1310.0,3,14215.837739365494
Carpet  Area,18-Apr,Lingadheeranahalli,6 Bedroom,Theanmp,1056,4.0,1.0,66.39548573274826,1056.0,6,6287.451300449646
Carpet  Area,18-Apr,Lingadheeranahalli,3 Bedroom,Theanmp,2700,5.0,3.0,226.16439956236312,2700.0,3,8376.459243050485
Carpet  Area,19-May,Uttarahalli,4 Bedroom,Coomege ,1056,4.0,3.0,125.84885629930362,1056.0,4,11917.50533137345
Built-up  Area,19-May,Old Airport Road,6 Bedroom,Theanmp,1206,5.0,3.0,257.1244561176229,1206.0,6,21320.43583064867
Built-up  Area,18-Apr,Rajaji Nagar,2 BHK,SollyCl,2600,2.0,3.0,44.09405361510275,2600.0,2,1695.9251390424135
Super built-up  Area,Ready To Move,Uttarahalli,3 Bedroom,Mainpro,1440,5.0,0.0,363.89221968008735,1440.0,3,25270.2930333394
Carpet  Area,18-Apr,Electronic City Phase II,2 BHK,,1100 - 1500,2.0,2.0,386.3000807341402,1300.0,2,29715.390825703093
Super built-up  Area,19-May,Whitefield,4 BHK,SollyCl,2700,3.0,1.0,121.74603650008764,2700.0,4,4509.112462966209
Plot  Area,19-May,Lingadheeranahalli,3 BHK,Mainpro,1056,2.0,0.0,82.3857580411381,1056.0,3,7801.681632683532
Carpet  Area,18-Apr,Rajaji Nagar,2 BHK,Coomege ,1056,5.0,0.0,149.96600038243838,1056.0,2,14201.325793791513
Plot  Area,18-Dec,Old Airport Road,4 Bedroom,,1206,5.0,0.0,391.4635130110281,1206.0,4,32459.661112025547
Super built-up  Area,18-Apr,Whitefield,4 BHK,SollyCl,2700,2.0,1.0,265.03496357231404,2700.0,4,9816.109761937558
Carpet  Area,18-Apr,Rajaji Nagar,3 Bedroom,Theanmp,2700,5.0,3.0,304.92174873621497,2700.0,3,11293.398101341296
Carpet  Area,19-May,Electronic City Phase II,3 Bedroom,,2600,2.0,0.0,373.8247544071989,2600.0,3,14377.87516950765
Super built-up  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Mainpro,1056,3.0,3.0,273.54938277602446,1056.0,6,25904.297611365953
Super built-up  Area,18-Apr,Kothanur,6 Bedroom,,1521,1.0,0.0,303.9811503169916,1521.0,6,19985.61146068321
Carpet  Area,19-May,Whitefield,4 Bedroom,,1521,2.0,1.0,331.4145296943797,1521.0,4,21789.252445389855
Built-up  Area,18-Dec,Old Airport Road,4 Bedroom,Mainpro,1310,2.0,1.0,278.8833625022378,1310.0,4,21288.806297880747
Carpet  Area,Ready To Move,Chikka Tirupathi,2 BHK,Coomege ,1100 - 1500,5.0,1.0,159.88123845991947,1300.0,2,12298.55680460919
Carpet  Area,Ready To Move,Lingadheeranahalli,6 Bedroom,Mainpro,1056,2.0,2.0,51.12786390994877,1056.0,6,4841.65377935121
Carpet  Area,Ready To Move,Rajaji Nagar,4 Bedroom,Coomege ,1440,1.0,0.0,287.2054110330008,1440.0,4,19944.820210625054
Built-up  Area,19-May,Uttarahalli,3 Bedroom,Theanmp,1100 - 1500,1.0,2.0,269.938453010598,1300.0,3,20764.496385430615
Built-up  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,1440,2.0,1.0,125.61877297928052,1440.0,4,8723.525901338926
Plot  Area,18-Apr,Old Airport Road,1 BHK,SollyCl,1521,3.0,0.0,358.8487227560688,1521.0,1,23592.946926763234
Carpet  Area,19-May,Uttarahalli,6 Bedroom,Mainpro,1100 - 1500,1.0,1.0,59.22555977989165,1300.0,6,4555.812290760896
Carpet  Area,18-Dec,Old Airport Road,3 BHK,SollyCl,1206,5.0,3.0,136.2318590465681,1206.0,3,11296.174050295864
Built-up  Area,18-Apr,Electronic City Phase II,2 BHK,,1056,1.0,3.0,31.25067490591198,1056.0,2,2959.3442145749977
Carpet  Area,19-May,Uttarahalli,1 BHK,Prrscly,1206,2.0,3.0,396.40629040005626,1206.0,1,32869.50998342092
Carpet  Area,Ready To Move,Whitefield,2 BHK,,1206,1.0,2.0,334.2920866967208,1206.0,2,27719.078498898903
Plot  Area,18-Apr,Electronic City Phase II,3 Bedroom,Theanmp,1521,2.0,0.0,314.9461535540547,1521.0,3,20706.518971338246
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Coomege ,1521,4.0,0.0,30.538973238135164,1521.0,2,2007.82204064005
Built-up  Area,19-May,Rajaji Nagar,4 BHK,Theanmp,2700,3.0,1.0,79.99879437551013,2700.0,4,2962.918310204079
Carpet  Area,Ready To Move,Lingadheeranahalli,4 Bedroom,Coomege ,2600,4.0,3.0,33.77017009321667,2600.0,4,1298.8526958929488
Super built-up  Area,18-Dec,Whitefield,3 Bedroom,Theanmp,1206,4.0,3.0,311.3674157928117,1206.0,3,25818.193680995995
Super built-up  Area,19-May,Uttarahalli,3 Bedroom,Mainpro,1440,1.0,0.0,193.0085296915143,1440.0,3,13403.370117466271
Super built-up  Area,18-Apr,Whitefield,3 Bedroom,Prrscly,2700,5.0,0.0,363.2493032866792,2700.0,3,13453.677899506638
Carpet  Area,18-Dec,Rajaji Nagar,4 BHK,SollyCl,2700,4.0,1.0,210.1010669384458,2700.0,4,7781.520997720215
Super built-up  Area,18-Apr,Whitefield,3 Bedroom,,2700,2.0,3.0,306.65514477570986,2700.0,3,11357.597954655921
Built-up  Area,Ready To Move,Electronic City Phase II,3 Bedroom,Prrscly,1310,5.0,3.0,396.3529379512922,1310.0,3,30255.9494619307
Built-up  Area,18-Apr,Whitefield,4 BHK,Theanmp,1310,5.0,3.0,305.95030805301747,1310.0,4,23354.985347558588
Built-up  Area,Ready To Move,Chikka Tirupathi,1 BHK,Theanmp,1310,5.0,2.0,284.8014721040801,1310.0,1,21740.570389624438
Plot  Area,18-Dec,Old Airport Road,4 Bedroom,SollyCl,1310,4.0,1.0,99.50445351573548,1310.0,4,7595.759810361486
Built-up  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,Coomege ,1310,1.0,2.0,355.52508650892315,1310.0,6,27139.31958083383
Super built-up  Area,19-May,Electronic City Phase II,4 Bedroom,Theanmp,1440,3.0,2.0,334.991483306787,1440.0,4,23263.29745186021
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,SollyCl,1206,1.0,1.0,323.70170261324466,1206.0,4,26840.93719844483
Super built-up  Area,18-Dec,Lingadheeranahalli,3 BHK,Prrscly,1521,4.0,3.0,165.61385278892627,1521.0,3,10888.484732999756
Plot  Area,19-May,Kothanur,4 Bedroom,SollyCl,1521,1.0,3.0,36.76361430292528,1521.0,4,2417.0686589694465
Carpet  Area,18-Apr,Lingadheeranahalli,4 BHK,SollyCl,2700,1.0,3.0,186.93734470939245,2700.0,4,6923.605359607128
Super built-up  Area,19-May,Old Airport Road,4 Bedroom,Prrscly,1521,4.0,1.0,331.1670275913653,1521.0,4,21772.980117775496
Built-up  Area,18-Apr,Lingadheeranahalli,2 BHK,,1056,4.0,3.0,373.449813819013,1056.0,2,35364.56570255805
Plot  Area,18-Dec,Rajaji Nagar,4 BHK,Prrscly,1310,5.0,0.0,374.5918273773637,1310.0,4,28594.79598300486
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,2600,1.0,3.0,52.91895477130107,2600.0,3,2035.3444142808103
Carpet  Area,18-Dec,Old Airport Road,3 BHK,Mainpro,1521,3.0,2.0,346.3956516816461,1521.0,3,22774.204581304806
Plot  Area,19-May,Electronic City Phase II,6 Bedroom,Prrscly,1440,1.0,2.0,371.38963582098313,1440.0,6,25790.946932012717
Built-up  Area,Ready To Move,Chikka Tirupathi,1 BHK,Theanmp,2600,3.0,0.0,95.02512258020244,2600.0,1,3654.8124069308624
Super built-up  Area,Ready To Move,Lingadheeranahalli,6 Bedroom,Mainpro,1440,4.0,2.0,110.8798306692383,1440.0,6,7699.988240919327
Carpet  Area,18-Apr,Chikka Tirupathi,2 BHK,SollyCl,1440,5.0,1.0,63.12673153752788,1440.0,2,4383.800801217214
Built-up  Area,19-May,Lingadheeranahalli,4 Bedroom,Coomege ,1521,2.0,1.0,360.5332968249023,1521.0,4,23703.70130341238
Carpet  Area,18-Dec,Whitefield,6 Bedroom,Coomege ,1100 - 1500,1.0,2.0,109.9654312638604,1300.0,6,8458.879327989262
Built-up  Area,Ready To Move,Whitefield,1 BHK,Coomege ,1056,2.0,0.0,146.0632350558813,1056.0,1,13831.745743928155
Built-up  Area,Ready To Move,Electronic City Phase II,4 Bedroom,SollyCl,1440,2.0,1.0,265.7238379478665,1440.0,4,18453.044301935173
Super built-up  Area,18-Apr,Chikka Tirupathi,4 BHK,Prrscly,1206,3.0,0.0,351.086713806711,1206.0,4,29111.667811501742
Built-up  Area,18-Apr,Chikka Tirupathi,4 Bedroom,Theanmp,1056,1.0,2.0,78.54726146196631,1056.0,4,7438.18763844378
Carpet  Area,Ready To Move,Whitefield,6 Bedroom,SollyCl,1310,4.0,3.0,264.813818340122,1310.0,6,20214.795293139083
Plot  Area,18-Dec,Rajaji Nagar,4 Bedroom,Theanmp,1100 - 1500,1.0,3.0,230.88290219199644,1300.0,4,17760.223245538185
Carpet  Area,19-May,Lingadheeranahalli,3 Bedroom,Mainpro,1100 - 1500,1.0,1.0,367.6372125367006,1300.0,3,28279.7855797462
Super built-up  Area,18-Dec,Rajaji Nagar,4 Bedroom,Theanmp,1310,3.0,1.0,147.98943828693544,1310.0,4,11296.903686025607
Carpet  Area,18-Dec,Whitefield,2 BHK,Theanmp,1440,3.0,3.0,35.53980468874618,1440.0,2,2468.0419922740402
Built-up  Area,Ready To Move,Kothanur,4 BHK,Prrscly,2700,2.0,3.0,249.68772278237853,2700.0,4,9247.69343638439
Plot  Area,19-May,Whitefield,4 Bedroom,Theanmp,1206,1.0,3.0,51.04468595697348,1206.0,4,4232.561024624667
Super built-up  Area,18-Dec,Uttarahalli,6 Bedroom,SollyCl,1056,4.0,2.0,374.7049375019092,1056.0,6,35483.422111923224
Carpet  Area,18-Apr,Chikka Tirupathi,4 Bedroom,,2700,3.0,3.0,84.16427577519374,2700.0,4,3117.1953990812494
Plot  Area,Ready To Move,Lingadheeranahalli,2 BHK,Coomege ,2600,3.0,1.0,184.5267618150256,2600.0,2,7097.183146731753
Built-up  Area,Ready To Move,Old Airport Road,2 BHK,Prrscly,2700,5.0,2.0,187.35318098084716,2700.0,2,6939.006702994338
Plot  Area,18-Apr,Electronic City Phase II,3 BHK,,1056,5.0,1.0,162.06205043694305,1056.0,3,15346.785079255971
Plot  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Prrscly,2700,3.0,0.0,126.54113823282026,2700.0,6,4686.708823437787
Plot  Area,19-May,Rajaji Nagar,3 Bedroom,Mainpro,2600,2.0,2.0,315.6372501783019,2600.0,3,12139.894237626995
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,Coomege ,1521,3.0,3.0,106.4910342031718,1521.0,3,7001.382919340683
Super built-up  Area,18-Dec,Rajaji Nagar,3 Bedroom,SollyCl,1310,5.0,2.0,372.40845688336384,1310.0,3,28428.126479646096
Plot  Area,18-Apr,Whitefield,4 BHK,SollyCl,1440,3.0,3.0,349.5929737006582,1440.0,4,24277.289840323487
Carpet  Area,Ready To Move,Whitefield,3 Bedroom,SollyCl,1310,4.0,3.0,169.41775540163428,1310.0,3,12932.65308409422
Super built-up  Area,18-Dec,Uttarahalli,6 Bedroom,Theanmp,1310,5.0,0.0,154.27182557234036,1310.0,6,11776.475234529798
Built-up  Area,18-Apr,Electronic City Phase II,4 Bedroom,SollyCl,1440,1.0,1.0,118.1143383044488,1440.0,4,8202.38460447561
Built-up  Area,18-Dec,Whitefield,4 BHK,Prrscly,1056,2.0,0.0,78.38843630344226,1056.0,4,7423.147377219911
Carpet  Area,18-Apr,Chikka Tirupathi,4 BHK,Theanmp,1310,2.0,1.0,248.1470837997084,1310.0,4,18942.52548089377
Super built-up  Area,Ready To Move,Chikka Tirupathi,2 BHK,,1440,4.0,0.0,182.6953851739204,1440.0,2,12687.179525966696
Plot  Area,Ready To Move,Old Airport Road,4 Bedroom,Prrscly,2700,2.0,2.0,358.7375987225868,2700.0,4,13286.57773046618
Carpet  Area,19-May,Electronic City Phase II,6 Bedroom,SollyCl,1100 - 1500,1.0,0.0,152.9004455466433,1300.0,6,11761.572734357178
Built-up  Area,Ready To Move,Lingadheeranahalli,6 Bedroom,SollyCl,1310,3.0,3.0,233.15840213360417,1310.0,6,17798.351307908717
Super built-up  Area,18-Apr,Kothanur,3 BHK,Prrscly,2600,5.0,0.0,369.6265043376961,2600.0,3,14216.40401298831
Super built-up  Area,18-Dec,Lingadheeranahalli,4 Bedroom,,2700,2.0,3.0,143.8388482827171,2700.0,4,5327.364751211744
Plot  Area,19-May,Chikka Tirupathi,2 BHK,,2700,2.0,1.0,136.86371671157508,2700.0,2,5069.026544873151
Carpet  Area,19-May,Chikka Tirupathi,3 Bedroom,Prrscly,1100 - 1500,3.0,1.0,49.92257357510643,1300.0,3,3840.1979673158794
Built-up  Area,18-Apr,Lingadheeranahalli,2 BHK,SollyCl,2600,4.0,1.0,122.33200115635188,2600.0,2,4705.076967551996
Carpet  Area,19-May,Rajaji Nagar,6 Bedroom,Theanmp,1310,1.0,1.0,88.097136523933,1310.0,6,6724.972253735344
Built-up  Area,18-Apr,Uttarahalli,1 BHK,SollyCl,1521,4.0,3.0,211.61328376887775,1521.0,1,13912.773423331872
Built-up  Area,18-Dec,Kothanur,4 Bedroom,,2700,1.0,2.0,182.2000762102849,2700.0,4,6748.150970751292
Plot  Area,18-Dec,Rajaji Nagar,6 Bedroom,SollyCl,1310,4.0,1.0,165.7107165699785,1310.0,6,12649.673020609045
Carpet  Area,Ready To Move,Uttarahalli,4 Bedroom,Prrscly,1056,3.0,0.0,186.20717291404415,1056.0,4,17633.255010799636
Plot  Area,Ready To Move,Whitefield,4 BHK,SollyCl,1521,4.0,3.0,308.37954007228404,1521.0,4,20274.78895938751
Carpet  Area,Ready To Move,Whitefield,3 BHK,SollyCl,1056,5.0,1.0,203.9424852646702,1056.0,3,19312.735347033165
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomege ,1310,5.0,1.0,84.7909036946783,1310.0,2,6472.588068296053
Plot  Area,18-Apr,Old Airport Road,1 BHK,Theanmp,1440,1.0,3.0,52.24148297816204,1440.0,1,3627.8807623723637
Super built-up  Area,Ready To Move,Chikka Tirupathi,3 BHK,Theanmp,1521,5.0,1.0,350.7899518381068,1521.0,3,23063.11320434627
Super built-up  Area,18-Dec,Lingadheeranahalli,1 BHK,Theanmp,1521,4.0,3.0,203.27531450273335,1521.0,1,13364.58346500548
Carpet  Area,19-May,Uttarahalli,4 Bedroom,Theanmp,2600,3.0,0.0,328.411519133481,2600.0,4,12631.212274364654
Super built-up  Area,Ready To Move,Old Airport Road,6 Bedroom,Prrscly,1100 - 1500,3.0,1.0,294.86060715375083,1300.0,6,22681.585165673143
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,,2700,4.0,3.0,85.10753858230473,2700.0,3,3152.131058603879
Plot  Area,18-Dec,Chikka Tirupathi,1 BHK,Theanmp,2700,4.0,3.0,364.2277085918743,2700.0,1,13489.915133032382
Carpet  Area,18-Apr,Rajaji Nagar,1 BHK,SollyCl,2700,4.0,3.0,56.26550428234091,2700.0,1,2083.9075660126264
Plot  Area,18-Dec,Whitefield,3 BHK,SollyCl,1440,5.0,0.0,160.06518700634115,1440.0,3,11115.637986551468
Carpet  Area,19-May,Kothanur,6 Bedroom,,1440,2.0,0.0,283.2549493581703,1440.0,6,19670.482594317382
Built-up  Area,19-May,Chikka Tirupathi,6 Bedroom,Theanmp,1206,3.0,3.0,359.1078399927195,1206.0,6,29776.769485300127
Built-up  Area,Ready To Move,Kothanur,4 BHK,Mainpro,1521,4.0,3.0,159.2400113233178,1521.0,4,10469.428752354885
Built-up  Area,Ready To Move,Old Airport Road,4 Bedroom,,2600,1.0,2.0,324.76255276336394,2600.0,4,12490.867413975537
Built-up  Area,18-Dec,Lingadheeranahalli,4 Bedroom,Coomege ,1440,3.0,3.0,344.9250393339039,1440.0,4,23953.1277315211
Plot  Area,18-Dec,Rajaji Nagar,6 Bedroom,Prrscly,1521,2.0,3.0,121.54075665429696,1521.0,6,7990.845276416631
Built-up  Area,Ready To Move,Whitefield,4 BHK,Mainpro,2600,2.0,0.0,222.8753943297923,2600.0,4,8572.130551145858
Plot  Area,Ready To Move,Kothanur,1 BHK,Coomege ,1056,3.0,0.0,321.13386584823064,1056.0,1,30410.40396290063
Built-up  Area,18-Dec,Rajaji Nagar,4 Bedroom,SollyCl,1440,4.0,2.0,322.28323643420174,1440.0,4,22380.780307930676
Carpet  Area,18-Apr,Kothanur,4 Bedroom,SollyCl,2700,2.0,3.0,85.32208415736204,2700.0,4,3160.077191013409
Carpet  Area,18-Dec,Whitefield,6 Bedroom,Prrscly,1310,3.0,1.0,331.66111518354865,1310.0,6,25317.64238042356
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,SollyCl,1521,4.0,1.0,327.1344294699908,1521.0,3,21507.852036159813
Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,,2600,1.0,0.0,331.69605871490324,2600.0,4,12757.540719803972
Plot  Area,Ready To Move,Whitefield,4 BHK,,2700,1.0,2.0,105.81198920705748,2700.0,4,3918.9625632243515
Plot  Area,18-Apr,Whitefield,3 Bedroom,,1100 - 1500,4.0,3.0,382.9507801976578,1300.0,3,29457.752322896755
Built-up  Area,19-May,Chikka Tirupathi,3 BHK,,1521,5.0,0.0,104.0915825189496,1521.0,3,6843.62804200852
Built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Mainpro,1206,5.0,3.0,266.6411661575611,1206.0,3,22109.54943263359
Carpet  Area,Ready To Move,Whitefield,2 BHK,Coomege ,2700,4.0,0.0,333.0796902461398,2700.0,2,12336.284823931104
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,,1440,4.0,3.0,255.7357416610864,1440.0,3,17759.42650424211
Carpet  Area,18-Apr,Uttarahalli,2 BHK,Mainpro,1100 - 1500,3.0,1.0,183.64080714550423,1300.0,2,14126.215934269558
Plot  Area,19-May,Rajaji Nagar,3 BHK,,1100 - 1500,3.0,1.0,310.54070949800047,1300.0,3,23887.746884461576
